trace_id,kind,source_artifact,source_locator,source_sha256,legacy_symbol,rule_summary,decision_id,target_component,target_file,target_symbol,test_id,test_file,expected,actual,target_commit,test_result_ref,approved_by,approved_at,status,confidence,notes
BR-001,business_rule,inputs/legado-php/clientes.php,clientes.php#6-8,,normalizar_email,"e-mail unico, minusculo, sem espacos nas pontas",,,src/regras.rs,normalizar_email,TST-BR-001,src/regras.rs,,,,,,,verified,,
BR-002,business_rule,inputs/legado-php/clientes.php,clientes.php#11-15,,normalizar_limite,"limite nao negativo, 2 casas, meio para cima como o round() do PHP",,,src/regras.rs,normalizar_limite,TST-BR-002,src/regras.rs,,,,,,,verified,,
BR-003,business_rule,inputs/legado-php/clientes.php,clientes.php#18-22,,normalizar_nome,"nome 3..80 bytes, espacos colapsados",,,src/regras.rs,normalizar_nome,TST-BR-003,src/regras.rs,,,,,,,verified,,
BR-004,business_rule,inputs/legado-php/clientes.php,clientes.php#62-68,,excluir,"excluir desativa (ativo=0), nunca apaga",,,src/repo.rs,excluir,GOLDEN-BR-004,golden-master/casos.json,,,,golden-master/comparacao.json,,,verified,,
QRY-001,query,inputs/legado-php/clientes.php,clientes.php#25-28,,listar,ordem por nome e id; so ativos por padrao,,,src/repo.rs,listar,GOLDEN-QRY-001,golden-master/casos.json,,,,golden-master/comparacao.json,,,verified,,
DB-001,schema,inputs/banco.sql,banco.sql#2-10,,clientes,tabela clientes intocada; o Rust usa o mesmo MySQL,,,src/repo.rs,conectar,GOLDEN-DB-001,golden-master/casos.json,,,,golden-master/comparacao.json,,,verified,,
UI-001,screen,inputs/legado-php/clientes.php,clientes.php#1,,(sem tela no legado),"tela de clientes nova em React: listar, incluir, alterar, desativar",,,web/src/App.tsx,App,TST-UI-001,web/tela.mjs,,,,EVID-0004,,,verified,,
INT-001,integration,inputs/legado-php/clientes.php,clientes.php#1,,(chamado pelo painel antigo),"API JSON: GET/POST/PUT/DELETE /clientes, e o modo golden",,,src/main.rs,servir,GOLDEN-INT-001,golden-master/casos.json,,,,EVID-0003,,,verified,,
UI-002,screen,inputs/legado-php/clientes.php,clientes.php#1,,(sem tela no legado),bootstrap do React (main.tsx) e configuracao do Vite,,,web/src/main.tsx,main,TST-UI-001,web/tela.mjs,,,,EVID-0004,,,verified,,
CFG-001,config,inputs/legado-php/config.php,config.php#3-6,,define(DB_*),"configuracao do build do frontend; a do banco continua por variavel de ambiente, como no legado",,,web/vite.config.ts,defineConfig,TST-UI-001,web/tela.mjs,,,,EVID-0004,,,verified,,
